doc_name,stream,group,is_active,is_expired,is_rfc,is_replaced,is_withdrawn_submitter,is_withdrawn_ietf,rfc_num,revisions
name,became_rfc,expired,replaced,revisions
draft-ietf-pem-notary,False,True,False,0
draft-ietf-nisi-infrastructure,True,False,False,0
draft-ietf-pem-keymgmt,True,False,False,1
draft-ietf-fddimib-mib,True,False,False,0
draft-ietf-fddimib-trapdef,False,True,False,0
draft-ietf-idpr-mib,False,True,False,3
draft-ietf-tnfs-spec,False,True,False,3
draft-ietf-hubmib-mib,True,False,False,4
draft-ietf-iesg-evolutionplan,False,True,False,0
draft-ietf-ospf-trapmib,False,True,False,2
draft-ietf-idpr-configuration,False,True,False,0
draft-ietf-mospf-multicast,True,False,False,3
draft-ietf-disi-catalog,True,False,False,1
draft-ietf-pppext-osinlcp,True,False,False,2
draft-ietf-pppext-authentication,True,False,False,6
draft-ietf-bgp-defaultroute,True,False,False,1
draft-ietf-rreq-forwarding,True,False,False,5
draft-ietf-pem-algorithms,True,False,False,1
draft-ietf-rmon-trap,False,True,False,0
draft-ietf-bgp-multicast,False,True,False,2
draft-ietf-bgp-usage,True,False,False,1
draft-ietf-osids-accesscntrl,False,True,False,0
draft-ietf-nntp-news,False,True,False,1
draft-ietf-x25mib-lapbmib,True,False,False,5
draft-ietf-x25mib-ipox25mib,True,False,False,4
draft-ietf-x25mib-x25packet,True,False,False,5
draft-ietf-netfax-netimage,True,False,False,3
draft-ietf-bgp-ospfinteract,True,False,False,6
draft-ietf-appleip-aurp,False,True,False,2
draft-ietf-cat-dass,True,False,False,2
draft-ietf-isis-mib,False,True,False,4
draft-ietf-iplpdn-x25_isdn,True,False,False,3
draft-ietf-tcplw-tcpext,True,False,False,2
draft-ietf-822ext-msghead,True,False,False,1
draft-ietf-cipso-ipsecurity,False,True,False,1
draft-ietf-osids-archdirectory,False,True,False,0
draft-ietf-iab-introstandard,True,False,False,0
draft-ietf-bgp-unirouting,True,False,False,0
draft-ietf-netdata-implement,False,True,False,3
draft-ietf-disi-execdir,True,False,False,2
draft-ietf-mpsnmp-appletalk,True,False,False,2
draft-ietf-pppext-lqm,True,False,False,1
draft-ietf-osids-distnames,True,False,False,4
draft-ietf-x400ops-mhs-service,True,False,False,6
draft-ietf-x400ops-mapsmail,True,False,False,1
draft-ietf-telnet-environment,True,False,False,3
draft-ietf-telnet-remflow-cntrl,True,False,False,1
draft-ietf-disi-techview,True,False,False,0
draft-ietf-telnet-authker-v4,True,False,False,1
draft-ietf-telnet-authker-v5,False,True,False,1
draft-ietf-dns-mibext,False,True,False,5
